Rank,Player_ID,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Live_Touches,TakeOns_Att,TakeOns_Succ,TakeOns_Succ%,Tkld_TakeOns ,Tkld_TakeOns%,Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_into_finalthird,Carries_into_PA,Miscontrolled,Dispossessed,Passes_received,Prog_passes_received
1,1,Max Aarons (Bournemouth),ENG,DF,Bournemouth,Premier League,23,2000,13.7,55,64,69,57,60,43,55,78,75,35,71,31,52,56,58,65,54,76,51,55,49,53
2,2,Brenden Aaronson (Union Berlin),USA,"MF,FW",Union Berlin,Bundesliga,22,2000,14.1,53,36,48,56,77,81,53,95,94,43,96,75,55,63,65,80,80,81,87,95,56,82
3,3,Paxten Aaronson (Eint Frankfurt),USA,MF,Eint Frankfurt,Bundesliga,19,2003,1.1,17,0,11,24,28,29,17,40,30,14,45,80,17,16,12,23,0,36,31,40,17,34
4,4,Keyliane Abdallah (Marseille),FRA,FW,Marseille,Ligue 1,17,2006,0,0,0,0,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0
5,5,Yunis Abdelhamid (Reims),MAR,DF,Reims,Ligue 1,35,1987,30.9,97,95,95,96,51,74,97,56,58,67,57,56,98,98,99,79,67,0,69,40,95,37
6,6,Salis Abdul Samed (Lens),GHA,MF,Lens,Ligue 1,23,2000,16.9,69,48,58,82,68,34,69,62,55,26,68,82,83,82,72,42,83,0,69,63,78,48
7,7,Nabil Aberdin (Getafe),FRA,DF,Getafe,La Liga,20,2002,2,19,21,29,26,9,16,19,0,0,0,0,0,18,20,23,0,0,0,13,21,18,0
8,8,Laurent Abergel (Lorient),FRA,MF,Lorient,Ligue 1,30,1993,31.8,96,83,86,98,83,41,96,92,97,86,82,20,99,98,97,81,92,58,80,91,97,68
9,9,Matthis Abline (Nantes),FRA,FW,Nantes,Ligue 1,20,2003,11.6,39,33,29,41,67,87,39,77,83,75,75,45,46,52,52,72,74,88,91,70,42,80
10,10,Abner (Betis),BRA,DF,Betis,La Liga,23,2000,15.6,67,76,76,66,69,68,67,52,55,68,50,37,59,50,53,52,49,68,62,63,60,70
11,11,Zakaria Aboukhlal (Toulouse),MAR,"MF,FW",Toulouse,Ligue 1,23,2000,8.4,35,10,25,37,59,76,35,75,58,12,87,92,40,47,47,66,56,79,67,66,38,76
12,12,Abdel Abqar (Alavés),MAR,DF,Alavés,La Liga,24,1999,25.7,69,91,87,67,33,59,69,34,37,77,23,12,62,60,66,37,39,0,56,21,59,15
13,13,Tammy Abraham (Roma),ENG,FW,Roma,Serie A,25,1997,2.7,16,21,9,22,30,39,16,37,30,18,45,89,15,16,18,34,24,49,42,28,18,44
14,14,Francesco Acerbi (Inter),ITA,DF,Inter,Serie A,35,1988,26.5,94,92,95,93,48,65,94,27,30,83,23,25,95,91,92,63,51,0,28,21,96,52
15,15,Joshua Acheampong (Chelsea),ENG,DF,Chelsea,Premier League,17,2006,0.1,3,24,10,0,9,0,3,0,0,0,0,0,1,4,6,0,0,0,0,0,0,0
16,16,Marcos Acuña (Sevilla),ARG,DF,Sevilla,La Liga,31,1991,14.4,67,58,70,71,73,41,67,64,64,51,60,36,60,57,61,66,68,64,65,75,62,63
17,17,Bénie Adama Traore (Sheffield Utd),CIV,"FW,MF",Sheffield Utd,Premier League,20,2002,4.3,21,15,21,26,35,39,21,65,47,10,77,91,22,25,22,37,36,58,44,52,21,43
18,18,Bénie Adama Traore (Nantes),CIV,"FW,MF",Nantes,Ligue 1,20,2002,5.6,28,21,21,33,50,62,28,69,73,65,68,49,32,39,42,66,60,76,63,58,29,65
19,19,Akor Adams (Montpellier),NGA,FW,Montpellier,Ligue 1,23,2000,25,51,43,37,53,81,96,51,85,75,17,90,83,58,63,55,82,73,93,97,91,57,89
20,20,Tyler Adams (Bournemouth),USA,MF,Bournemouth,Premier League,24,1999,1.3,19,19,23,27,21,27,19,27,30,83,0,0,17,16,19,30,18,49,24,0,18,15
21,21,Junior Adamu (Freiburg),AUT,"FW,MF",Freiburg,Bundesliga,22,2001,1.2,14,15,12,22,23,32,14,27,0,0,33,89,14,13,12,17,18,0,31,45,14,30
