Rank,Player_ID,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,SCA_Types_PassLive,SCA_Types_PassDead,SCA _TakeOn,SCA_Sh,SCA _FoulsDrawn,SCA_DefAct,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_TakeOn,GCA_Shot,GCA_FoulsDrawn,GCA_DefAct
1,1,Max Aarons,ENG,DF,Bournemouth,Premier League,23,2000,13.7,23,1.68,16,4,0,0,3,0,2,0.15,2,0,0,0,0,0
2,2,Brenden Aaronson,USA,"MF,FW",Union Berlin,Bundesliga,22,2000,14.1,53,3.76,41,1,8,3,0,0,8,0.57,6,0,2,0,0,0
3,3,Paxten Aaronson,USA,MF,Eint Frankfurt,Bundesliga,19,2003,1.1,1,0.89,1,0,0,0,0,0,1,0.89,1,0,0,0,0,0
4,4,Keyliane Abdallah,FRA,FW,Marseille,Ligue 1,17,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,35,1987,30.9,24,0.78,19,1,0,3,1,0,1,0.03,0,0,0,1,0,0
6,6,Salis Abdul Samed,GHA,MF,Lens,Ligue 1,23,2000,16.9,27,1.6,27,0,0,0,0,0,3,0.18,3,0,0,0,0,0
7,7,Nabil Aberdin,FRA,DF,Getafe,La Liga,20,2002,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,Laurent Abergel,FRA,MF,Lorient,Ligue 1,30,1993,31.8,81,2.55,67,3,2,1,2,6,5,0.16,3,0,1,0,0,1
9,9,Matthis Abline,FRA,FW,Nantes,Ligue 1,20,2003,11.6,38,3.28,30,0,5,2,1,0,2,0.17,0,0,1,0,1,0
10,10,Abner,BRA,DF,Betis,La Liga,23,2000,15.6,14,0.9,13,0,0,1,0,0,0,0,0,0,0,0,0,0
11,11,Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,Ligue 1,23,2000,8.4,20,2.39,10,0,2,3,3,2,2,0.24,0,0,0,1,1,0
12,12,Abdel Abqar,MAR,DF,Alavés,La Liga,24,1999,25.7,12,0.47,9,0,0,2,1,0,0,0,0,0,0,0,0,0
13,13,Tammy Abraham,ENG,FW,Roma,Serie A,25,1997,2.7,3,1.12,1,0,0,0,1,1,1,0.37,0,0,0,0,1,0
14,14,Francesco Acerbi,ITA,DF,Inter,Serie A,35,1988,26.5,22,0.83,19,0,0,3,0,0,1,0.04,1,0,0,0,0,0
15,15,Joshua Acheampong,ENG,DF,Chelsea,Premier League,17,2006,0.1,1,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0
