Rank,Player_ID,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,SCA _TakeOn
1,2,Brenden Aaronson,USA,"MF,FW",Union Berlin,Bundesliga,22,2000,14.1,76,74,89
2,4,Keyliane Abdallah,FRA,FW,Marseille,Ligue 1,17,2006,0,0,0,0
3,9,Matthis Abline,FRA,FW,Nantes,Ligue 1,20,2003,11.6,64,64,76
4,11,Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,Ligue 1,23,2000,8.4,46,38,51
5,13,Tammy Abraham,ENG,FW,Roma,Serie A,25,1997,2.7,17,12,0
6,17,Bénie Adama Traore,CIV,"FW,MF",Sheffield Utd,Premier League,20,2002,4.3,25,15,0
7,18,Bénie Adama Traore,CIV,"FW,MF",Nantes,Ligue 1,20,2002,5.6,40,47,0
8,19,Akor Adams,NGA,FW,Montpellier,Ligue 1,23,2000,25,69,19,76
9,21,Junior Adamu,AUT,"FW,MF",Freiburg,Bundesliga,22,2001,1.2,14,19,0
10,22,Sargis Adamyan,ARM,"FW,MF",Köln,Bundesliga,30,1993,8.9,58,69,34
11,24,Elijah Adebayo,ENG,FW,Luton Town,Premier League,25,1998,15.8,58,25,76
12,25,Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,21,2002,10.1,51,40,61
13,26,Simon Adingra,CIV,FW,Brighton,Premier League,21,2002,24.7,87,60,96
14,28,Amine Adli,MAR,"MF,FW",Leverkusen,Bundesliga,23,2000,10,75,92,83
15,30,Adryelson,BRA,"DF,FW",Lyon,Ligue 1,25,1998,0.1,0,0,0
16,31,Adson,BRA,"MF,FW",Nantes,Ligue 1,22,2000,2.6,32,67,34
17,40,Brandon Aguilera,CRC,FW,Nott'ham Forest,Premier League,20,2003,0.1,0,0,0
18,41,Naouirou Ahamada,FRA,"MF,FW",Crystal Palace,Premier League,21,2002,3.9,32,35,0
19,46,Tosin Aiyegun,BEN,"MF,FW",Lorient,Ligue 1,25,1998,10,38,13,0
20,48,Ludovic Ajorque,FRA,FW,Mainz 05,Bundesliga,29,1994,15.1,63,40,0
21,50,Marley Aké,FRA,FW,Udinese,Serie A,22,2001,0.1,0,0,0
22,52,Ilias Akhomach,MAR,"MF,FW",Villarreal,La Liga,19,2004,16.8,78,67,96
