Rank,Player_ID,Player,Nation,Pos,Squad,Comp,Age,Born,90s,TakeOns_Att,TakeOns_Succ,Carries_PrgC,Carries_into_finalthird,Carries_into_PA
1,2,Brenden Aaronson (Union Berlin),USA,"MF,FW",Union Berlin,Bundesliga,22,2000,14.1,88,88,73,76,62
2,4,Keyliane Abdallah (Marseille),FRA,FW,Marseille,Ligue 1,17,2006,0,0,0,0,0,0
3,9,Matthis Abline (Nantes),FRA,FW,Nantes,Ligue 1,20,2003,11.6,64,74,65,71,73
4,11,Zakaria Aboukhlal (Toulouse),MAR,"MF,FW",Toulouse,Ligue 1,23,2000,8.4,61,47,60,53,59
5,13,Tammy Abraham (Roma),ENG,FW,Roma,Serie A,25,1997,2.7,26,21,28,18,27
6,17,Bénie Adama Traore (Sheffield Utd),CIV,"FW,MF",Sheffield Utd,Premier League,20,2002,4.3,50,37,31,32,34
7,18,Bénie Adama Traore (Nantes),CIV,"FW,MF",Nantes,Ligue 1,20,2002,5.6,55,61,60,57,55
8,19,Akor Adams (Montpellier),NGA,FW,Montpellier,Ligue 1,23,2000,25,74,63,75,69,83
9,21,Junior Adamu (Freiburg),AUT,"FW,MF",Freiburg,Bundesliga,22,2001,1.2,18,0,10,12,0
10,22,Sargis Adamyan (Köln),ARM,"FW,MF",Köln,Bundesliga,30,1993,8.9,45,44,48,44,45
11,24,Elijah Adebayo (Luton Town),ENG,FW,Luton Town,Premier League,25,1998,15.8,85,72,50,57,71
12,25,Karim Adeyemi (Dortmund),GER,"FW,MF",Dortmund,Bundesliga,21,2002,10.1,82,72,81,68,88
13,26,Simon Adingra (Brighton),CIV,FW,Brighton,Premier League,21,2002,24.7,97,95,96,88,98
14,28,Amine Adli (Leverkusen),MAR,"MF,FW",Leverkusen,Bundesliga,23,2000,10,57,61,69,73,77
15,30,Adryelson (Lyon),BRA,"DF,FW",Lyon,Ligue 1,25,1998,0.1,0,0,0,0,0
16,31,Adson (Nantes),BRA,"MF,FW",Nantes,Ligue 1,22,2000,2.6,30,37,54,44,39
17,40,Brandon Aguilera (Nott'ham Forest),CRC,FW,Nott'ham Forest,Premier League,20,2003,0.1,0,0,0,12,0
18,41,Naouirou Ahamada (Crystal Palace),FRA,"MF,FW",Crystal Palace,Premier League,21,2002,3.9,38,44,56,41,39
19,46,Tosin Aiyegun (Lorient),BEN,"MF,FW",Lorient,Ligue 1,25,1998,10,56,58,52,47,50
20,48,Ludovic Ajorque (Mainz 05),FRA,FW,Mainz 05,Bundesliga,29,1994,15.1,35,21,26,35,18
21,50,Marley Aké (Udinese),FRA,FW,Udinese,Serie A,22,2001,0.1,0,0,0,0,0
22,52,Ilias Akhomach (Villarreal),MAR,"MF,FW",Villarreal,La Liga,19,2004,16.8,97,97,88,88,88
23,56,Maghnes Akliouche (Monaco),FRA,"MF,FW",Monaco,Ligue 1,21,2002,17.9,78,83,78,87,73
24,60,David Akpan Ankeye (Genoa),NGA,FW,Genoa,Serie A,21,2002,0.6,23,21,20,12,18
25,72,Aboubacar Ali (Strasbourg),FRA,"MF,FW",Strasbourg,Ligue 1,17,2006,1.4,18,14,20,12,18
26,73,Mohamed Ali Cho (Real Sociedad),FRA,"FW,MF",Real Sociedad,La Liga,19,2004,2.8,48,44,50,49,39
27,74,Mohamed Ali Cho (Nice),FRA,FW,Nice,Ligue 1,19,2004,9.6,68,68,79,76,75
28,75,Faride Alidou (Köln),GER,"FW,MF",Köln,Bundesliga,22,2001,14.2,86,80,81,69,79
29,76,Nabil Alioui (Le Havre),FRA,"MF,FW",Le Havre,Ligue 1,24,1999,11.2,68,65,59,65,55
30,78,Tadeo Allende (Celta Vigo),ARG,"MF,FW",Celta Vigo,La Liga,24,1999,3.7,30,28,36,28,18
31,80,Domingos André Ribeiro Almeida (Valencia),POR,"FW,MF",Valencia,La Liga,23,2000,10.7,59,61,62,74,50
32,81,Miguel Almirón (Newcastle Utd),PAR,FW,Newcastle Utd,Premier League,29,1994,21.5,78,79,91,86,83
33,82,Pontus Almqvist (Lecce),SWE,"FW,MF",Lecce,Serie A,24,1999,23.4,92,90,89,88,92
34,89,Julián Álvarez (Manchester City),ARG,"MF,FW",Manchester City,Premier League,23,2000,29.4,72,75,86,93,89
35,93,Papa Amadou Diallo (Metz),SEN,FW,Metz,Ligue 1,19,2004,9.9,73,68,62,62,45
36,94,Selim Amallah (Valencia),MAR,"FW,MF",Valencia,La Liga,26,1996,6.7,72,72,31,53,27
37,95,Amath (Mallorca),SEN,"FW,MF",Mallorca,La Liga,27,1996,4.4,55,47,56,41,62
38,98,Zeki Amdouni (Burnley),SUI,FW,Burnley,Premier League,22,2000,21.7,91,84,86,77,81
39,107,Elliot Anderson (Newcastle Utd),SCO,"MF,FW",Newcastle Utd,Premier League,20,2002,11.4,73,76,73,69,39
40,108,Felipe Anderson (Lazio),BRA,"FW,MF",Lazio,Serie A,30,1993,30.8,94,93,96,95,87
41,110,Komnen Andrić (Clermont Foot),SRB,FW,Clermont Foot,Ligue 1,28,1995,1.9,23,21,0,28,18
42,115,Jaidon Anthony (Bournemouth),ENG,FW,Bournemouth,Premier League,23,1999,1.7,26,21,16,18,0
43,117,Michail Antonio (West Ham),JAM,FW,West Ham,Premier League,33,1990,18.8,83,84,79,61,80
44,118,Antony (Manchester Utd),BRA,FW,Manchester Utd,Premier League,23,2000,14.7,86,82,82,83,84
45,119,Christopher Antwi-Adjei (Bochum),GHA,"FW,MF",Bochum,Bundesliga,29,1994,13.5,66,44,80,68,78
46,120,Houssem Aouar (Roma),ALG,"MF,FW",Roma,Serie A,25,1998,8.4,49,56,52,57,55
47,121,Stredair Appuah (Nantes),FRA,"FW,MF",Nantes,Ligue 1,19,2004,0.9,26,33,20,12,18
48,128,Cameron Archer (Sheffield Utd),ENG,"FW,MF",Sheffield Utd,Premier League,22,2001,20.4,82,86,70,76,83
49,131,Adu Ares (Athletic Club),ESP,FW,Athletic Club,La Liga,21,2001,2.9,53,65,45,24,45
50,134,Matias Arezo (Granada),URU,FW,Granada,La Liga,20,2002,4.1,9,14,28,24,39
51,137,José Arnaiz (Osasuna),ESP,"FW,MF",Osasuna,La Liga,28,1995,10.3,59,56,60,65,55
52,138,Hákon Arnar Haraldsson (Lille),ISL,"FW,MF",Lille,Ligue 1,20,2003,14.3,67,65,62,74,62
53,139,Marko Arnautović (Inter),AUT,FW,Inter,Serie A,34,1989,8.9,26,14,43,41,39
54,141,Mohamed El Arouch (Lyon),FRA,FW,Lyon,Ligue 1,19,2004,0,9,14,0,0,0
