Player,Pos,TakeOns_Att,TakeOns_Succ,Carries_PrgC,Carries_into_finalthird,Carries_into_PA,SCA,SCA90,_TakeOn
"Brenden Aaronson (Union Berlin)","MF,FW",88,88,73,76,62,76,74,76
"Keyliane Abdallah (Marseille)",FW,0,0,0,0,0,0,0,0
"Matthis Abline (Nantes)",FW,64,74,65,71,73,64,64,64
"Zakaria Aboukhlal (Toulouse)","MF,FW",61,47,60,53,59,46,38,46
"Tammy Abraham (Roma)",FW,26,21,28,18,27,17,12,17
"Bénie Adama Traore (Sheffield Utd)","FW,MF",50,37,31,32,34,25,15,25
"Bénie Adama Traore (Nantes)","FW,MF",55,61,60,57,55,40,47,40
"Akor Adams (Montpellier)",FW,74,63,75,69,83,69,19,69
"Junior Adamu (Freiburg)","FW,MF",18,0,10,12,0,14,19,14
"Sargis Adamyan (Köln)","FW,MF",45,44,48,44,45,58,69,58
"Elijah Adebayo (Luton Town)",FW,85,72,50,57,71,58,25,58
"Karim Adeyemi (Dortmund)","FW,MF",82,72,81,68,88,51,40,51
"Simon Adingra (Brighton)",FW,97,95,96,88,98,87,60,87
"Amine Adli (Leverkusen)","MF,FW",57,61,69,73,77,75,92,75
"Adryelson (Lyon)","DF,FW",0,0,0,0,0,0,0,0
"Adson (Nantes)","MF,FW",30,37,54,44,39,32,67,32
"Brandon Aguilera (Nott'ham Forest)",FW,0,0,0,12,0,0,0,0
"Naouirou Ahamada (Crystal Palace)","MF,FW",38,44,56,41,39,32,35,32
"Tosin Aiyegun (Lorient)","MF,FW",56,58,52,47,50,38,13,38
"Ludovic Ajorque (Mainz 05)",FW,35,21,26,35,18,63,40,63
"Marley Aké (Udinese)",FW,0,0,0,0,0,0,0,0
"Ilias Akhomach (Villarreal)","MF,FW",97,97,88,88,88,78,67,78
"Maghnes Akliouche (Monaco)","MF,FW",78,83,78,87,73,91,90,91
"David Akpan Ankeye (Genoa)",FW,23,21,20,12,18,9,17,9
"Aboubacar Ali (Strasbourg)","MF,FW",18,14,20,12,18,9,10,9
"Mohamed Ali Cho (Real Sociedad)","FW,MF",48,44,50,49,39,17,12,17
"Mohamed Ali Cho (Nice)",FW,68,68,79,76,75,60,70,60
"Faride Alidou (Köln)","FW,MF",86,80,81,69,79,60,38,60
